X,condHeLa_S140_DMSO_rep1_hl,condHeLa_S140_RMD_rep1_hl,condC81_S181_DMSO_rep1_hl,condC81_S181_RMD_rep1_hl,condHeLa_S181_DMSO_rep1_hl,condHeLa_S181_RMD_rep1_hl,condHeLa_DMSO_rep1_hl,condHeLa_RMD_rep1_hl,condHeLa_C2_DMSO_rep1_hl,condHeLa_C2_RMD_rep1_hl,condHeLa_S140_DMSO_rep1_R2,condHeLa_S140_RMD_rep1_R2,condC81_S181_DMSO_rep1_R2,condC81_S181_RMD_rep1_R2,condHeLa_S181_DMSO_rep1_R2,condHeLa_S181_RMD_rep1_R2,condHeLa_DMSO_rep1_R2,condHeLa_RMD_rep1_R2,condHeLa_C2_DMSO_rep1_R2,condHeLa_C2_RMD_rep1_R2,DEs,target_group,ARE,IEG,mean_siCPEB4_DMSO,mean_siCPEB4_RMD,mean_Ctrl_DMSO,mean_Ctrl_RMD,meanlogFC_DMSO,meanlogFC_RMD,mean_siCPEB4_DMSO_log2,mean_siCPEB4_RMD_log2,mean_Ctrl_DMSO_log2,mean_Ctrl_RMD_log2,stabilized_DMSO,stabilized_RMD
POGK,4.51673174406444,3.02563066099695,5.29813318792826,2.99877337814483,6.72624940691824,3.42301611101757,5.68983816083458,2.3958081087419,6.66183131443489,4.61869661532841,0.974224608189776,0.973446263568443,0.971983360920157,0.9971856327104,0.981110838552311,0.9727483245029,0.972520666187408,0.939431065505352,0.938438020493589,0.847419270412296,63,10-99,ARE,non-IEG,5.62149057549134,3.22432338600726,6.175834737634736,3.507252362035155,-0.13568142597205524,-0.12134479516039241,2.4909527213255136,1.6889964473372883,2.626634147297569,1.8103412424976806,non-IEG,non-IEG
RC3H1,8.26129921719832,3.1755844517383,12.7579062384496,3.45755005012715,17.198072980912,3.90259881121266,11.083038282387,3.14327086844878,25.3011484817596,4.49839744169121,0.800352800737483,0.980181771929953,0.856027324336625,0.99015800176591,0.98626628877836,0.956658355124798,0.965042110454503,0.983605447165602,0.646023917333909,0.806506996384186,49,10-99,ARE,non-IEG,12.72968609905516,3.53909163147548,18.1920933820733,3.8208341550699947,-0.5151147205741811,-0.11050852285099814,3.6701249391918354,1.8233791154121648,4.185239659766016,1.9338876382631627,non-IEG,non-IEG
CEP350,5.39370590409137,3.16359595431445,8.02184062341424,3.57798092547914,8.4112591340805,3.97503908189609,5.69179241950209,2.45129406106578,7.93209535626806,4.3229368882708,0.942196241424272,0.971105546843425,0.99462585884971,0.972021569203497,0.948552885392344,0.983881144304919,0.953300406055323,0.933840808323838,0.908876588752542,0.745622875708236,NA,nontarget,ARE,non-IEG,6.902482519085936,3.56931751810527,6.811943887885075,3.38711547466829,0.019048777979387616,0.07559107334877568,2.7871153291139654,1.8356482458588665,2.7680665511345777,1.7600571725100909,non-IEG,non-IEG
ZNF281,3.08774279804077,2.75031062672752,3.12489487960453,2.42828715196383,3.7996068473413,2.98109028708421,2.35418404396401,1.905940499339,2.59299246279383,3.20154515845578,0.996618637909719,0.970934802826338,0.901718612699518,0.952062594195054,0.943526410341591,0.80852664819445,0.999462900110133,0.984684739387796,0.972116601065104,0.820137799379707,48,10-99,ARE,non-IEG,3.443674822691035,2.865700456905865,2.47358825337892,2.55374282889739,0.47734354590893324,0.16627456911739588,1.783948919204036,1.5188878168850226,1.306605373295103,1.352613247767627,non-IEG,non-IEG
ZBED6,12.1231416753794,4.54840842440388,8.66933888135256,5.41232384831036,11.6589151837148,4.74672316203844,6.39707751791146,4.02123677523782,9.23879244942108,7.16747454642996,0.744775960006016,0.948369325808428,0.830377408546676,0.864615026831361,0.787214654934856,0.969717882190133,0.986130061114758,0.928418616712682,0.74935128536351,0.73899811363107,NA,nontarget,non-ARE,non-IEG,11.8910284295471,4.64756579322116,7.8179349836662695,5.59435566083389,0.6050140041823258,-0.26749668719457276,3.571801590967079,2.2164752887880113,2.9667875867847533,2.483971975982584,non-IEG,non-IEG
HIST3H2BB,2.50916326699321,3.58676645322094,3.07993696954045,4.70987031562497,2.94979235337154,4.08181731675668,1.62566521670557,3.24974184598035,1.83567046058866,4.57419787600023,0.895479600459114,0.862277994818132,0.502762247893252,0.686194004389621,0.699006623971221,0.880115045032022,0.902242803507402,0.978119170811047,0.876498232877216,0.891353388050637,NA,nontarget,non-ARE,non-IEG,2.7294778101823747,3.8342918849888097,1.730667838647115,3.91196986099029,0.6572961088775897,-0.02893508920455685,1.4486249684637134,1.9389601661655125,0.7913288595861235,1.9678952553700695,non-IEG,non-IEG
LINC01128,10.8197152591829,3.00180263964346,7.68064687812442,3.00966961494987,7.65626658324685,3.78483579004816,6.9306119399277,2.91116663507741,6.12686430943085,5.33827898990709,0.571102582799875,0.971025263637082,0.95319867317753,0.992942558396614,0.997795687999243,0.964818070847459,0.912281140728843,0.966951857662529,0.955060134744694,0.900510916868859,NA,nontarget,non-ARE,non-IEG,9.237990921214875,3.39331921484581,6.5287381246792755,4.12472281249225,0.500774953917794,-0.2816000183517089,3.20757912835574,1.762697153011747,2.7068041744379463,2.044297171363456,non-IEG,non-IEG
SAMD11,9.79781023754612,4.25840519828787,6.7521105213293,4.91518324465813,9.40977778224135,3.84712026795035,8.56410631153203,4.37228014990728,25.1025200022763,6.04153714481078,0.966421185381803,0.994543652184626,0.989128068035879,0.938457806900043,0.934436026299527,0.975864368445341,0.832648508012695,0.952321132961897,0.628641911043813,0.959265548898961,NA,nontarget,non-ARE,non-IEG,9.603794009893736,4.05276273311911,16.833313156904165,5.206908647359031,-0.8096427930303449,-0.36152137954995844,3.263604459785338,2.018905716028171,4.073247252815683,2.3804270955781295,non-IEG,non-IEG
KLHL17,9.26304827440786,6.84944640098332,7.05082279505494,7.33779183019953,5.7788317952708,4.05216765125627,5.80307815230915,8.45356439317016,7.87490638730747,7.14899888548809,0.757587566553551,0.635015953724969,0.820916077060814,0.736803656549398,0.887900503445278,0.963455529240218,0.97870269553803,0.561888846823618,0.969803111074859,0.829627031923073,NA,nontarget,ARE,non-IEG,7.520940034839329,5.450807026119795,6.83899226980831,7.801281639329124,0.13712923552590778,-0.5172413119285646,2.910912994195919,2.44646984574025,2.7737837586700116,2.9637111576688144,non-IEG,non-IEG
C1orf159,5.53776064182342,3.62344610912462,5.91937894332919,3.60482363669432,5.96834175400853,3.06193855327949,3.74797339934522,2.89667804845516,9.39853397441994,4.61312699264167,0.993405100387251,0.972981233303698,0.975391134050658,0.888658142466369,0.973062102131089,0.990065591886528,0.975072842764649,0.998262047703781,0.98693721980187,0.995984317662932,0,0,non-ARE,non-IEG,5.753051197915974,3.3426923312020547,6.57325368688258,3.7549025205484146,-0.1922803560154198,-0.16776488280153978,2.524327309201956,1.7410105722224722,2.716607665217376,1.9087754550240121,non-IEG,non-IEG
