X,target_group,ARE,IEG,variable,value
PEX14,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.47941892465824
CASZ1,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.10104344463106
TARDBP,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.1643862604985
UBIAD1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.25605382571837
FBXO44,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.13080754156552
AGTRAP,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,16.2087382492633
CLCN6,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.97908524578112
NPPA-AS1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.5385126661777
KIAA2013,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.5584697189641
MFN2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,21.6402837971624
TNFRSF8,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.26287577772179
VPS13D,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.7909788979553
DHRS3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.16848745264578
PRDM2,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.33567663094699
TMEM51,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.39854640125982
AL031283.2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.80741594037735
EFHD2,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.8949842730897
CASP9,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.6783244596108
DNAJC16,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.2430301167487
DDI2,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.23284981904487
PLEKHM2,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.0104107826136
UQCRHL,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.81916825509234
FLJ37453,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.47056014341726
SPEN,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.12772738432738
ZBTB17,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.1953995168209
FAM131C,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,22.0750769417938
EPHA2,100-999,ARE,IEG,condHeLa_DMSO_rep1_hl,11.1493488260862
ARHGEF19,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.97261175833042
RSG1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,21.8323370828229
FBXO42,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.04155575124243
SZRD1,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,23.0739476589494
NECAP2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.7089211784682
LINC01772,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.94323846689186
NBPF1,0,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.91560019643489
CROCC,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.87437418996092
PADI3,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.77982580420214
RCC2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.4495736430508
ARHGEF10L,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.97177872203499
IFFO2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.6682180637442
EMC1,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.6632291938697
MRTO4,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.2278751136107
AKR7A3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.94025691187901
PQLC2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.05410871775011
NBL1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.4273856997835
TMCO4,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.67307052172279
OTUD3,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.15652172853216
CAMK2N1,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,28.3131068865926
MUL1,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.54391105010731
SH2D5,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.53148606550606
HP1BP3,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,26.4438953969727
EIF4G3,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.9964218829694
ECE1,0,ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.45983702939216
NBPF3,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.64966487537678
USP48,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.2689502908679
HSPG2,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.8095523304636
AL031281.2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.15067869031344
ZBTB40,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.31639284064255
EPHB2,0,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.87734405129456
LUZP1,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.92872719256473
HTR1D,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.71694224833037
LINC01355,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.25145489295658
ZNF436,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.99094040638788
ZNF436-AS1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.82921510957769
TCEA3,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.3127180377826
ASAP3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.4257503236341
E2F2,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.85835213640133
AL021154.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.25271623292104
ID3,5000-more,non-ARE,IEG,condHeLa_DMSO_rep1_hl,1.98574023976102
RPL11,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.3985556523265
ELOA,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.0984762056033
PITHD1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,20.8941820123507
LYPLA2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.1931123201076
FUCA1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,18.3878690629307
PNRC2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.42971625304231
SRSF10,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,32.6814199936553
MYOM3,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.59089038303111
STPG1,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.399206937775
NIPAL3,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,22.0973379159461
RCAN3,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,18.2317177752365
SRRM1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.7697142190525
RUNX3,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.42902965696619
SYF2,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.0484525192898
AL031432.4,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.62403153707698
TMEM50A,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,28.1772844451491
TMEM57,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.42849786904472
LDLRAP1,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.11894141591166
SELENON,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.2017586633843
AL020996.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.52680732498701
MTFR1L,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,18.4157373317895
AUNIP,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.00968889950397
PAQR7,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.74077602548724
PAFAH2,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.57459578364825
PDIK1L,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.77639843094831
FAM110D,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,0.958301260379437
ZNF593,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.84529561104684
CEP85,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.35731410900725
SH3BGRL3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.8643567079863
UBXN11,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.3772604011816
DHDDS,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.9677927917203
RPS6KA1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.364877431497
AL512408.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.2124869325815
ARID1A,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.20315367689814
PIGV,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.0361099024215
ZDHHC18,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.84655053479605
SFN,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.75164848653263
GPN2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.6249178681419
GPATCH3,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.25076349288921
NUDC,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.9645024481957
FAM46B,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.74669215068787
SLC9A1,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.63101876017878
WDTC1,0,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,29.3255465425404
TMEM222,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.7165792329633
AHDC1,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.3324901093107
STX12,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.0518847884231
PPP1R8,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.05795405386885
RPA2,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,32.141793988041
XKR8,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.23234137683239
EYA3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.7033335955596
PTAFR,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.91425084100187
DNAJC8,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,29.514825539384
ATPIF1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,28.043075857255
AL353622.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.91451551122287
SESN2,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.95035021423465
MED18,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.3298088863547
PHACTR4,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.77530223202093
RCC1,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.7826838706961
SNHG3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.70401780644755
AL513497.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.25766488687078
SNHG12,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.69134967951882
SNORA61,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.02742253599098
SNORA44,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.1080847131809
RAB42,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.40721420807225
LINC01715,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.86237503631215
GMEB1,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.41120602843379
YTHDF2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.95374453207488
EPB41,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,28.4525710038941
Metazoa_SRP,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.6302395675444
SRSF4,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.2807575797264
uc_338,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.86474243229553
MECR,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.9157185402173
PTPRU,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.6672906198427
SDC3,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.0008043164855
SNRNP40,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,21.4103855219761
ZCCHC17,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,21.7237337562353
FABP3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.6117878124686
SERINC2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,16.695970197461
TINAGL1,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.6688698800086
COL16A1,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.7714977634388
ADGRB2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.0300116101978
PTP4A2,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,20.214258538577
TMEM39B,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.05383073857468
TXLNA,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.28851170159611
IQCC,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.62910900998063
TMEM234,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.6555911483724
FAM167B,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.63967479551042
MARCKSL1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,18.6858914457835
FAM229A,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.49285917881917
TSSK3,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.6730223140521
BSDC1,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.5762597666483
ZBTB8A,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.9272878293846
ZBTB8OS,0,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,42.867629558456
SYNC,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.69067511783783
KIAA1522,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.2317794430497
S100PBP,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.56132991242861
RNF19B,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.09528304127043
