bins,meanCoverage,standardError,feature,condition
42,0.0037671160166442355,5.887276522002371e-4,threeUTRs,RMD
43,0.003550953961760216,5.650817657797029e-4,threeUTRs,RMD
44,0.002808101999060059,5.019562735779006e-4,threeUTRs,RMD
45,0.0029792022615928245,5.143692899422056e-4,threeUTRs,RMD
46,0.0031080146926245372,5.33188617598133e-4,threeUTRs,RMD
47,0.0029430322375623304,5.07198394316412e-4,threeUTRs,RMD
48,0.0025854441251932214,4.8177672690352105e-4,threeUTRs,RMD
49,0.0030105753064204642,5.249664059095747e-4,threeUTRs,RMD
50,0.002913481768966117,5.198462582329592e-4,threeUTRs,RMD
51,0.0029172140922947773,5.099539027693042e-4,threeUTRs,RMD
52,0.0031993972783268968,5.372123061095489e-4,threeUTRs,RMD
53,0.00313915111382693,5.314588636162182e-4,threeUTRs,RMD
54,0.002640398032358763,4.924684194526729e-4,threeUTRs,RMD
55,0.0027868179871823394,5.007640846092328e-4,threeUTRs,RMD
56,0.0027426563800095967,5.096673138310295e-4,threeUTRs,RMD
57,0.0027661673492193504,4.963121800308803e-4,threeUTRs,RMD
58,0.0026056803453887033,4.941949824866165e-4,threeUTRs,RMD
59,0.0031765993799065632,5.415847282657647e-4,threeUTRs,RMD
60,0.0027352562963934603,5.007200964690414e-4,threeUTRs,RMD
61,0.003088573205226059,5.173910985317186e-4,threeUTRs,RMD
62,0.003626939211122042,5.730642860765845e-4,threeUTRs,RMD
63,0.00395484838483653,6.086632969055334e-4,threeUTRs,RMD
64,0.004307473342217876,6.298035790325865e-4,threeUTRs,RMD
65,0.004111865181179212,6.125014203347663e-4,threeUTRs,RMD
66,0.004108503908400031,6.044232278410717e-4,threeUTRs,RMD
67,0.004358541877109594,6.251843671413064e-4,threeUTRs,RMD
68,0.005056363036751831,6.799769083598247e-4,threeUTRs,RMD
69,0.005510282543015339,7.18520346860053e-4,threeUTRs,RMD
70,0.005560468352051375,7.151209758241697e-4,threeUTRs,RMD
71,0.005670963959198776,7.182447959176496e-4,threeUTRs,RMD
72,0.006027614701154118,7.537159823765344e-4,threeUTRs,RMD
73,0.006085864896464862,7.509683702374036e-4,threeUTRs,RMD
74,0.005937107909095142,7.403103261691754e-4,threeUTRs,RMD
75,0.006458989898391869,7.647962005338653e-4,threeUTRs,RMD
76,0.006589495651568267,7.846956626514944e-4,threeUTRs,RMD
77,0.006483027304980734,7.676646555802948e-4,threeUTRs,RMD
78,0.0064092319229866425,7.694748070921654e-4,threeUTRs,RMD
79,0.006362312389903913,7.62719458405057e-4,threeUTRs,RMD
80,0.007088860055883486,8.075062064101566e-4,threeUTRs,RMD
81,0.007803792395007762,8.485205244814899e-4,threeUTRs,RMD
82,0.008516397946139054,8.882044308841195e-4,threeUTRs,RMD
83,0.008888561456299276,9.046631893170602e-4,threeUTRs,RMD
84,0.009491556233686294,9.448084261457855e-4,threeUTRs,RMD
85,0.010019825547333595,9.452223453793933e-4,threeUTRs,RMD
86,0.010988815617201044,0.0010095332105061648,threeUTRs,RMD
87,0.011751252203290256,0.0010579728108066335,threeUTRs,RMD
88,0.01168264373548854,0.0010492154967775573,threeUTRs,RMD
89,0.012770024350454878,0.0010934658158044627,threeUTRs,RMD
90,0.014060861222298531,0.0011486294411606813,threeUTRs,RMD
91,0.01379688939219935,0.001138548418731777,threeUTRs,RMD
92,0.014930645364087282,0.0011747122158144848,threeUTRs,RMD
93,0.015931769822784176,0.001228570430416838,threeUTRs,RMD
94,0.017178109567654812,0.0012628646496166223,threeUTRs,RMD
95,0.020041839389778732,0.0013593660114475424,threeUTRs,RMD
96,0.021833885446251568,0.0014034641210131306,threeUTRs,RMD
97,0.023393170127933953,0.0014602329978837874,threeUTRs,RMD
98,0.025006514965358165,0.0015007727364376236,threeUTRs,RMD
99,0.025610258621604043,0.0015006901291584412,threeUTRs,RMD
100,0.01811961173138518,0.001183893553959474,threeUTRs,RMD
