"","Ctrl1_CLIP.merged_uniq.bam_log10_p1","Ctrl2_CLIP.merged_uniq.bam_log10_p1","CPEB4_CLIP_r1_CLIP_4SU_DMSO.merged_uniq.bam_log10_p1","RMD1_CLIP.merged_uniq.bam_log10_p1","RMD2_CLIP.merged_uniq.bam_log10_p1","CPEB4_CLIP_r1_CLIP_4SU_RMD.merged_uniq.bam_log10_p1"
"E2F4",1.84509804001426,2.10380372095596,1,1.39794000867204,1.30102999566398,1.04139268515822
"E2F6",0,0.698970004336019,0,0.301029995663981,0,0
"E2F7",1.51851393987789,1.73239375982297,0.602059991327962,1.61278385671974,1.32221929473392,1.04139268515822
"E2F8",1.20411998265592,1.44715803134222,0.301029995663981,1.14612803567824,1,0.301029995663981
"E4F1",1.43136376415899,1.34242268082221,0.778151250383644,1.04139268515822,0.602059991327962,0
"EAF1",1.64345267648619,1.82607480270083,0.301029995663981,1.69897000433602,1.36172783601759,1.04139268515822
"EAF2",0.301029995663981,0.301029995663981,0,1.32221929473392,0.954242509439325,0
"EAPP",1.8750612633917,1.99122607569249,0.903089986991944,2.10037054511756,1.73239375982297,1.20411998265592
"EBAG9",0,0.301029995663981,0.698970004336019,0.477121254719662,0.477121254719662,0.845098040014257
"EBF1",0.477121254719662,0.301029995663981,0.698970004336019,0.698970004336019,0.602059991327962,1.17609125905568
"EBF2",0.698970004336019,0.602059991327962,0.698970004336019,0,0.477121254719662,0
"EBPL",1.27875360095283,1.38021124171161,1.32221929473392,0.698970004336019,0.477121254719662,0.954242509439325
"ECE1",0.698970004336019,1.17609125905568,0,1.07918124604762,1.04139268515822,0.602059991327962
"ECHDC2",0,0,0.301029995663981,0,0,0
"ECT2",2.02530586526477,2.17609125905568,0.778151250383644,1.64345267648619,1.25527250510331,0.845098040014257
"EDA",0.602059991327962,0,0.301029995663981,0.301029995663981,0.301029995663981,0
"EDEM1",1.72427586960079,1.96378782734556,0.698970004336019,1.39794000867204,1,0
"EDN1",0.903089986991944,1.46239799789896,0.698970004336019,0.903089986991944,0.477121254719662,0.954242509439325
"EDN2",1.14612803567824,1.43136376415899,0.602059991327962,1.14612803567824,0.954242509439325,1.27875360095283
"EDN3",0,0,1.04139268515822,0,0,1.04139268515822
"EDNRA",0.477121254719662,0.698970004336019,0,0,0,0
"EDNRB",0.845098040014257,1.17609125905568,0.477121254719662,0,0,0
"EED",1.92941892571429,2.18184358794477,1.38021124171161,1.65321251377534,1.47712125471966,1.11394335230684
"EEF1A1",1.95424250943932,1.89762709129044,0.845098040014257,0,0.477121254719662,0.301029995663981
"EEF1A1P29",0.602059991327962,0.477121254719662,0,0,0,0
"EEF1DP3",0.477121254719662,0.602059991327962,0.301029995663981,0.301029995663981,0.301029995663981,0.602059991327962
"EEFSEC",1.17609125905568,1.50514997831991,1.60205999132796,0.845098040014257,0,0
"EEPD1",0.301029995663981,1,0.301029995663981,0.477121254719662,0,0.602059991327962
"EFCAB12",0.477121254719662,0.602059991327962,0.602059991327962,0,0,0
"EFCAB13",0.477121254719662,0.477121254719662,0.301029995663981,0.477121254719662,0.301029995663981,0
"EFCAB14",0.698970004336019,0.903089986991944,0.602059991327962,0.602059991327962,0.698970004336019,0
"EFCAB2",0.602059991327962,0.477121254719662,0.301029995663981,0.301029995663981,0,0
"EFCAB4A",0,0,1,0,0,1.39794000867204
"EFCAB5",0.778151250383644,1.04139268515822,0.602059991327962,0,0,0
"EFCAB6",0.602059991327962,0.477121254719662,0,0,0,0.477121254719662
"EFEMP1",2.96236933567002,3.23070431361257,1.57978359661681,2.55509444857832,2.14921911265538,1.04139268515822
"EFHB",0,0.602059991327962,0.698970004336019,0,0.301029995663981,0
"EFHC1",0,0,0.477121254719662,0,0,0
"EFHC2",0.778151250383644,0.954242509439325,0,0.778151250383644,0.602059991327962,0
"EFHD1",0.602059991327962,0.778151250383644,0.698970004336019,0.301029995663981,0.698970004336019,0.602059991327962
"EFHD2",1.83884909073726,1.92941892571429,1.17609125905568,1.25527250510331,0.602059991327962,0.778151250383644
"EFNA1",2.41830129131975,2.62013605497376,2.01703333929878,2.09691001300806,1.90308998699194,2.07918124604762
"EFNA3",1.25527250510331,1.44715803134222,1,1.27875360095283,0.778151250383644,1.23044892137827
"EFNA5",1.11394335230684,1.57978359661681,1.38021124171161,1,0.301029995663981,0.954242509439325
"EFNB1",2.04921802267018,2.2405492482826,0.954242509439325,2.02118929906994,1.77815125038364,1.60205999132796
"EFNB2",0.602059991327962,0.602059991327962,0,1.80617997398389,1.6232492903979,1.11394335230684
"EFR3A",1.14612803567824,1.38021124171161,0.778151250383644,0.698970004336019,0.778151250383644,0.954242509439325
"EFTUD2",0,0,1.25527250510331,0,0,1.69019608002851
"EGF",0.903089986991944,1,0.602059991327962,0.602059991327962,0.477121254719662,0.301029995663981
"EGFEM1P",0,0,0.602059991327962,0,0,0.845098040014257
"EGFL6",0,0,0.778151250383644,0,0,1.54406804435028
"EGFLAM",1.69019608002851,1.7160033436348,0.477121254719662,0,0.301029995663981,0
"EGFR",1.38021124171161,1.43136376415899,0.477121254719662,0.301029995663981,0.301029995663981,0
"EGR1",0.903089986991944,0.602059991327962,1.27875360095283,1.46239799789896,1.04139268515822,1.69897000433602
"EGR2",0,0.301029995663981,0,0.845098040014257,0.698970004336019,0.778151250383644
"EGR3",0,0,0,0,0,0.477121254719662
"EHBP1",2.15228834438306,2.3384564936046,0.301029995663981,1.99122607569249,1.69019608002851,0.301029995663981
"EHD2",0,0.477121254719662,0,0.477121254719662,0.477121254719662,0
"EHD4",0.698970004336019,0.698970004336019,0,1.07918124604762,0.477121254719662,0.477121254719662
"EHHADH",0.301029995663981,0.778151250383644,0.301029995663981,0.301029995663981,0,0
"EHMT1",1.86332286012046,2.13353890837022,0.477121254719662,1.90308998699194,1.63346845557959,0
"EID2B",1.68124123737559,1.79934054945358,0.778151250383644,1.47712125471966,1.04139268515822,0.477121254719662
"EIF1",1.60205999132796,1.91381385238372,1.11394335230684,0.778151250383644,0.778151250383644,0.778151250383644
"EIF1AD",1.11394335230684,1.14612803567824,0.301029995663981,1.07918124604762,0.903089986991944,0
"EIF1B",1.17609125905568,1.25527250510331,0,0.845098040014257,0.778151250383644,0.477121254719662
"EIF2A",1.11394335230684,1.20411998265592,0.477121254719662,0.698970004336019,0.301029995663981,0.301029995663981
"EIF2AK3",0.954242509439325,0.845098040014257,0.301029995663981,1.04139268515822,0.845098040014257,0.903089986991944
"EIF2S2",1.04139268515822,1.07918124604762,0.301029995663981,0,0,0.301029995663981
"EIF3H",1.20411998265592,1.65321251377534,0.698970004336019,1.07918124604762,0.698970004336019,0.477121254719662
"EIF3J-AS1",0.301029995663981,0.602059991327962,0,0.301029995663981,0.301029995663981,0
"EIF4A3",2.66838591669,2.78816837114117,1.14612803567824,2.72754125702856,2.42324587393681,1.7481880270062
"EIF4E",0,0,0,0.477121254719662,0,0
"EIF4E3",0.477121254719662,0.698970004336019,0.698970004336019,0.301029995663981,0,0.301029995663981
"EIF4ENIF1",0.845098040014257,1.14612803567824,0.698970004336019,1,0.778151250383644,1.25527250510331
"EIF4G3",1.57978359661681,1.53147891704226,1.41497334797082,1.14612803567824,0.903089986991944,0.845098040014257
"EIF5A2",0.698970004336019,1,0,0.845098040014257,0.477121254719662,0.477121254719662
"ELAC1",0.477121254719662,0.602059991327962,0,0.698970004336019,0.301029995663981,0
"ELAVL1",1.51851393987789,1.69019608002851,1.11394335230684,1.38021124171161,1.27875360095283,1.23044892137827
"ELAVL2",1.07918124604762,1.41497334797082,0.477121254719662,1.11394335230684,0.903089986991944,0.845098040014257
"ELAVL4",0.477121254719662,0.477121254719662,0,0,0,0
"ELF1",1.7160033436348,1.94448267215017,1.47712125471966,1.55630250076729,1.39794000867204,1.61278385671974
"ELF2",2.28330122870355,2.43933269383026,1.23044892137827,1.47712125471966,1.07918124604762,0.845098040014257
"ELF3",2.30535136944662,2.44870631990508,1.25527250510331,2.6222140229663,2.43933269383026,1.7160033436348
"ELF4",2.05307844348342,2.19312459835446,0.698970004336019,1.32221929473392,1.17609125905568,0.698970004336019
"ELFN1",1.73239375982297,2.23552844690755,0.954242509439325,1.11394335230684,0.698970004336019,0.301029995663981
"ELK3",1.54406804435028,1.77815125038364,0.698970004336019,1.27875360095283,0.903089986991944,0.903089986991944
"ELK4",1.30102999566398,1.74036268949424,0.602059991327962,1.20411998265592,0.845098040014257,0
"ELL",1.69897000433602,1.80617997398389,0.778151250383644,1.85125834871908,1.57978359661681,1
"ELL2",1.5910646070265,1.89209460269048,0.301029995663981,1.90848501887865,1.63346845557959,0.602059991327962
"ELMO1",0.778151250383644,1.07918124604762,0.301029995663981,1.04139268515822,0.845098040014257,0.301029995663981
"ELMOD3",0,0,0,0,0,0.301029995663981
"ELMSAN1",2.51719589794997,2.72181061521255,1.73239375982297,2.52633927738984,2.30749603791321,2.30102999566398
"ELP4",0.477121254719662,0.845098040014257,0,0.602059991327962,0.602059991327962,0
"ELP5",1.57978359661681,1.73239375982297,0.698970004336019,0.778151250383644,0,0.602059991327962
"ELTD1",0.954242509439325,0.602059991327962,0,0,0.301029995663981,0
"EMC3",0.477121254719662,1.07918124604762,0,1.43136376415899,0.954242509439325,0
"EMC8",1.79239168949825,1.75587485567249,1.53147891704226,1.39794000867204,1.23044892137827,1.69019608002851
"EMCN",0.602059991327962,0.845098040014257,0,0.845098040014257,0.301029995663981,0
"EMID1",0.301029995663981,0.301029995663981,0,0.698970004336019,0,0
"EML1",0,0,0.778151250383644,0,0,1.11394335230684
"EML2",0.698970004336019,0.903089986991944,0.301029995663981,0.477121254719662,0,0.301029995663981
"EML5",0.477121254719662,0.698970004336019,0.301029995663981,0.301029995663981,0.477121254719662,0.698970004336019
"EML6",1.11394335230684,1,0.778151250383644,0.602059991327962,0,0.477121254719662
"EMP1",2.71011736511182,2.86093662070009,1.27875360095283,1.93449845124357,1.57978359661681,1.04139268515822
"EMP2",1.93951925261862,2.12385164096709,0.698970004336019,1.46239799789896,1.23044892137827,0
"EMR2",0.477121254719662,0.301029995663981,0.477121254719662,0,0,0.602059991327962
"ENAH",1.04139268515822,1.14612803567824,0.301029995663981,0,0,0
"ENC1",0,0,0,0.698970004336019,0.301029995663981,0.301029995663981
"ENDOV",0.301029995663981,0.954242509439325,0,1.17609125905568,0.477121254719662,0
"ENOX1",1.53147891704226,1.64345267648619,1.79239168949825,0.477121254719662,0.301029995663981,1.11394335230684
"ENOX2",0.477121254719662,0.477121254719662,0,0,0,0
"ENSA",1.46239799789896,1.39794000867204,0.477121254719662,1.11394335230684,0.602059991327962,0.602059991327962
"ENTPD1",0.477121254719662,0.778151250383644,0,0.778151250383644,0,0.301029995663981
"ENTPD1-AS1",0.301029995663981,0,0.301029995663981,0,0.301029995663981,0
"ENTPD3-AS1",0.301029995663981,0.845098040014257,0,0.477121254719662,0.301029995663981,0
"ENTPD4",1.11394335230684,1.27875360095283,0.778151250383644,0.602059991327962,0.301029995663981,0.301029995663981
"ENTPD5",0.698970004336019,0.602059991327962,0,0.602059991327962,0.301029995663981,0
"EOGT",0.301029995663981,0.602059991327962,0.477121254719662,0.477121254719662,0,0
"EP300",2.13353890837022,2.39967372148104,1.25527250510331,2.13033376849501,1.86332286012046,1.72427586960079
"EP400",0.954242509439325,0.954242509439325,1.04139268515822,0,0,1.34242268082221
"EP400NL",1.11394335230684,1,0.954242509439325,0.301029995663981,0,0
