X,IEG,variable,value,condition,siCPEB4,mygroup
POU2F1,non-IEG,mean_siCPEB4_RMD,3.54652583199948,RMD,siCPEB4,RMD_non-IEG_siCPEB4
GPR161,non-IEG,mean_siCPEB4_RMD,3.913022157263875,RMD,siCPEB4,RMD_non-IEG_siCPEB4
SLC19A2,non-IEG,mean_siCPEB4_RMD,3.58839239111747,RMD,siCPEB4,RMD_non-IEG_siCPEB4
METTL18,non-IEG,mean_siCPEB4_RMD,3.5693886141312197,RMD,siCPEB4,RMD_non-IEG_siCPEB4
SCYL3,non-IEG,mean_siCPEB4_RMD,3.44238989032812,RMD,siCPEB4,RMD_non-IEG_siCPEB4
GORAB,non-IEG,mean_siCPEB4_RMD,3.83127668149874,RMD,siCPEB4,RMD_non-IEG_siCPEB4
METTL13,non-IEG,mean_siCPEB4_RMD,3.40547923541809,RMD,siCPEB4,RMD_non-IEG_siCPEB4
PIGC,non-IEG,mean_siCPEB4_RMD,4.1579176179441095,RMD,siCPEB4,RMD_non-IEG_siCPEB4
CENPL,non-IEG,mean_siCPEB4_RMD,2.82756671149212,RMD,siCPEB4,RMD_non-IEG_siCPEB4
GAS5,non-IEG,mean_siCPEB4_RMD,6.600951585329145,RMD,siCPEB4,RMD_non-IEG_siCPEB4
ZBTB37,non-IEG,mean_siCPEB4_RMD,3.583847403574285,RMD,siCPEB4,RMD_non-IEG_siCPEB4
MRPS14,non-IEG,mean_siCPEB4_RMD,4.8659319105941705,RMD,siCPEB4,RMD_non-IEG_siCPEB4
RASAL2,non-IEG,mean_siCPEB4_RMD,3.70024413654371,RMD,siCPEB4,RMD_non-IEG_siCPEB4
C1orf220,non-IEG,mean_siCPEB4_RMD,4.2428054492593805,RMD,siCPEB4,RMD_non-IEG_siCPEB4
ABL2,non-IEG,mean_siCPEB4_RMD,3.226216834514325,RMD,siCPEB4,RMD_non-IEG_siCPEB4
TOR1AIP2,non-IEG,mean_siCPEB4_RMD,3.5498924369957603,RMD,siCPEB4,RMD_non-IEG_siCPEB4
LHX4,non-IEG,mean_siCPEB4_RMD,3.69286677872769,RMD,siCPEB4,RMD_non-IEG_siCPEB4
KIAA1614,non-IEG,mean_siCPEB4_RMD,2.991091434481735,RMD,siCPEB4,RMD_non-IEG_siCPEB4
AL162431.2,non-IEG,mean_siCPEB4_RMD,2.28054768718104,RMD,siCPEB4,RMD_non-IEG_siCPEB4
KIAA1614-AS1,non-IEG,mean_siCPEB4_RMD,2.6294274061503247,RMD,siCPEB4,RMD_non-IEG_siCPEB4
STX6,non-IEG,mean_siCPEB4_RMD,4.03250647876023,RMD,siCPEB4,RMD_non-IEG_siCPEB4
RGL1,non-IEG,mean_siCPEB4_RMD,2.96360973218515,RMD,siCPEB4,RMD_non-IEG_siCPEB4
IVNS1ABP,non-IEG,mean_siCPEB4_RMD,4.2399784886638106,RMD,siCPEB4,RMD_non-IEG_siCPEB4
CRB1,non-IEG,mean_siCPEB4_RMD,4.48319354300931,RMD,siCPEB4,RMD_non-IEG_siCPEB4
CAMSAP2,non-IEG,mean_siCPEB4_RMD,3.892894764110725,RMD,siCPEB4,RMD_non-IEG_siCPEB4
KIF21B,non-IEG,mean_siCPEB4_RMD,3.273604683089795,RMD,siCPEB4,RMD_non-IEG_siCPEB4
PHLDA3,non-IEG,mean_siCPEB4_RMD,3.26790423723938,RMD,siCPEB4,RMD_non-IEG_siCPEB4
NAV1,non-IEG,mean_siCPEB4_RMD,3.56989355151286,RMD,siCPEB4,RMD_non-IEG_siCPEB4
ELF3-AS1,non-IEG,mean_siCPEB4_RMD,3.7459187014850253,RMD,siCPEB4,RMD_non-IEG_siCPEB4
PPP1R12B,non-IEG,mean_siCPEB4_RMD,3.994297529488855,RMD,siCPEB4,RMD_non-IEG_siCPEB4
KDM5B,non-IEG,mean_siCPEB4_RMD,3.23471190410198,RMD,siCPEB4,RMD_non-IEG_siCPEB4
RABIF,non-IEG,mean_siCPEB4_RMD,3.4383531467943502,RMD,siCPEB4,RMD_non-IEG_siCPEB4
ADORA1,non-IEG,mean_siCPEB4_RMD,2.8630543705668,RMD,siCPEB4,RMD_non-IEG_siCPEB4
SOX13,non-IEG,mean_siCPEB4_RMD,2.864910954029885,RMD,siCPEB4,RMD_non-IEG_siCPEB4
